"CNPJ Emitente","Razão Social Emitente","Data Emissão","Valor Total da Nota","Vencimento1","Valor1","Vencimento2","Valor2","Vencimento3","Valor3","Produto","Quantidade","Vlr.Unitário","Vlr.Total Produto","DANFE"
"29.835.524/0001-84","ROMEU PASQUANTONIO","20/10/2025","845,00","04/11/2025","845,00","","","","","CAMARAO 11/15 DESC EVISC TELSON","5,0000","169,000000","845,00","000.009.659"
"14.739.674/0002-06","AC URBAN TRIBE IMPORTACAO E COMERCIO LTDA","09/10/2025","558,00","06/11/2025","558,00","","","","","Rioja Bordon Crianza 750ml-17244","6,000","93,00","558,00","13295"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","23/10/2025","1.207,84","06/11/25","603,92","20/11/25","603,92","","","AGUA SANITARIA SUPER CANDIDA SLT","3","21,58","64,74","907422"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","23/10/2025","1.207,84","06/11/25","603,92","20/11/25","603,92","","","BOBINA PICOTADA (A) 20X28 EXTRUSA C/400","1","19,60","19,60","907422"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","23/10/2025","1.207,84","06/11/25","603,92","20/11/25","603,92","","","LA DE ACO BOMBRIL","5","2,80","14,00","907422"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","23/10/2025","1.207,84","06/11/25","603,92","20/11/25","603,92","","","DETERG NEUTRO YPE 500ML","72","3,3672","242,44","907422"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","23/10/2025","1.207,84","06/11/25","603,92","20/11/25","603,92","","","GUARD.31,8X31,8 F.DUPLA GRANDHOTEL 9X50","1","122,80","122,80","907422"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","23/10/2025","1.207,84","06/11/25","603,92","20/11/25","603,92","","","LIMPA ALUMINIO VALENCIA 5LTS","2","38,35","76,70","907422"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","23/10/2025","1.207,84","06/11/25","603,92","20/11/25","603,92","","","LIMP VIDRO LIMPOL BOMBRIL 500ML","1","8,75","8,75","907422"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","23/10/2025","1.207,84","06/11/25","603,92","20/11/25","603,92","","","SACO ALVEJADO EXTRA 50X70 C/6 GOLD","1","39,99","39,99","907422"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","23/10/2025","1.207,84","06/11/25","603,92","20/11/25","603,92","","","PAP.INTERF.2D PROPEL 22X20,7 C4800 22424","2","132,30","264,60","907422"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","23/10/2025","1.207,84","06/11/25","603,92","20/11/25","603,92","","","SACO LIXO 200LTS PR EXTRA FORTE C/3KG","1","51,30","51,30","907422"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","23/10/2025","1.207,84","06/11/25","603,92","20/11/25","603,92","","","REDE CABELO PRETA C/10","1","8,22","8,22","907422"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","23/10/2025","1.207,84","06/11/25","603,92","20/11/25","603,92","","","VASSOURA MULT CABO1,40 VERDE 9675C SUPER","1","24,90","24,90","907422"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","23/10/2025","1.207,84","06/11/25","603,92","20/11/25","603,92","","","DESENG SQUEEZE LIMPOL BOMBRIL 500ML","12","12,10","145,20","907422"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","23/10/2025","1.207,84","06/11/25","603,92","20/11/25","603,92","","","DETERG DESENGRAX RAMBO MAX CRIVELA 5LTS","1","55,40","55,40","907422"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","23/10/2025","1.207,84","06/11/25","603,92","20/11/25","603,92","","","FOSFORO FIATLUX EXTRA LONGO C/50","10","4,40","44,00","907422"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","23/10/2025","1.207,84","06/11/25","603,92","20/11/25","603,92","","","SACO LIXO 40LTS PR SANLIX C/100","1","25,20","25,20","907422"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","ABACAXI","9,6000000000","3,0000","28,80","000.023.233"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","ABOBRINHA ITALIANA","1,5000","6,4000000000","9,60","000.023.233"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","AGRIAO HIDROPONICO","2,0000","3,2000000000","6,40","000.023.233"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","ALECRIM","2,0000","12,8000000000","25,60","000.023.233"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","ALFACE CRESPA","2,0000","2,5600000000","5,12","000.023.233"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","ALFACE ROXA HIDROPONICA","2,0000","2,4000000000","4,80","000.023.233"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","BANANA TERRA","11,7600000000","2,7300","32,10","000.023.233"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","BANANA NANICA","2,5400","7,1200000000","18,08","000.023.233"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","BATATA LAVADA","7,0000","5,3600000000","37,52","000.023.233"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","29/10/2025","460,86","06/11/2025","460,86","","","","","CEBOLA BRANCA","3,0000","2,3000000000","6,90","000.023.233"
