"CNPJ Emitente","Razão Social Emitente","Data Emissão","Valor Total da Nota","Vencimento1","Valor1","Vencimento2","Valor2","Vencimento3","Valor3","Produto","Quantidade","Vlr.Unitário","Vlr.Total Produto","DANFE"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","MANGA PALMER","1,0000","9,6000000000","9,60","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","ABACAXI","9,6000000000","2,0000","19,20","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","ABOBRINHA ITALIANA","6,4000000000","1,0000","6,40","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","AGRIAO HIDROPONICO","3,2000000000","1,0000","3,20","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","ALECRIM","12,8000000000","1,0000","12,80","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","ALFACE CRESPA","2,5600000000","1,0000","2,56","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","ALFACE ROXA HIDROPONICA","2,4000000000","1,0000","2,40","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","BANANA TERRA","11,7600000000","3,3000","38,81","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","BANANA NANICA","7,1200000000","2,9000","20,65","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","BATATA LAVADA","7,0000","5,3600000000","37,52","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","CEBOLA BRANCA","2,0000","2,3000000000","4,60","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","CENOURA","6,0000000000","0,7000","4,20","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","SHIMEJI PRETO","2,0000","11,2500000000","22,50","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","SHITAKE","2,0000","12,8000000000","25,60","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","HORTELA","9,6000000000","0,5000","4,80","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","LARANJA PERA","4,4480000000","1,2000","5,34","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","LIMAO TAHITI","7,5000000000","3,5000","26,25","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","LIMAO SICILIANO","16,5600000000","2,4000","39,74","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","MANJERICAO ROXO","7,5200000000","1,2000","9,02","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","MORANGO","9,0000000000","3,0000","27,00","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","OVO BRANCO","1,0000","24,0000000000","24,00","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","PERA","4,4000","15,0400000000","66,18","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","PALMITO PUPUNHA","1,0000","19,2000000000","19,20","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","PIMENTAO VERMELHO","0,3000","22,0000000000","6,60","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","RUCULA HIDROPONICA","1,0000","4,0000000000","4,00","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","SALSA CRESPA","1,0000","6,4000000000","6,40","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","TOMATE CEREJA","1,0000","3,5200000000","3,52","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","TOMATE CEREJA AMARELO","1,0000","8,0000000000","8,00","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","TOMATE SALADA","4,0000","10,4000000000","41,60","000023255"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","31/10/2025","504,89","08/11/2025","504,89","","","","","CEBOLINHA COMUM","1,0000","3,2000000000","3,20","000023255"
"59.501.502/0001-49","KEIKO SAN PRODUTOS ALIMENTICIOS LTDA - KEIKOSAN","28/10/2025","2.490,19","07/11/2025","1.245,19","11/11/2025","1.245,00","","","FILE MIGNON 4/5 S/C ESTRELA OURO","35,83","69,50","2.490,19","210.788"
"00.163.222/0001-25","FUTURA COMERCIAL TRADING LTDA","10/10/2025","776,38","07/11/2025","776,38","","","","","VUR DON PASCUAL COASTAL ALBARINO BC750","6","60,75","364,50","126330"
"00.163.222/0001-25","FUTURA COMERCIAL TRADING LTDA","10/10/2025","776,38","07/11/2025","776,38","","","","","VUR DON PASCUAL COASTAL TANNAT TT750.","6","60,75","364,50","126330"
"04.140.399/0001-67","AUTOAMERICA LTDA","08/10/2025","1.028,68","07/11/2025","1.028,68","","","","","AZEITE DE OLIVA EXTRA VIRGEM-NOBLE NATURE 5,05L","4,0000","257,1700","1.028,68","000221250"
"04.140.399/0001-67","AUTOAMERICA LTDA","08/10/2025","215,93","08/11/2025","215,93","","","","","COUSCOUS NOBLE NATURE 500G","12,0000","14,1300","169,56","000221254"
"27.312.819/0001-40","WINE CAPITAL IMPORTACAO E DISTRIBUICAO - EIRELI","15/10/2025","559,75","08/11/2025","279,88","02/12/2025","279,87","","","CABERNET SAUVIGNON VENETO IGT AMERIGO VESPUCCI","6,0000","36,90","221,40","000033946"
"27.312.819/0001-40","WINE CAPITAL IMPORTACAO E DISTRIBUICAO - EIRELI","15/10/2025","559,75","08/11/2025","279,88","02/12/2025","279,87","","","PINOT GRIGIO DELLE VENEZIE DOC CASTELNUOVO","8,0000","42,29","338,35","000033946"
"09.063.896/0001-22","SPECIALITA COMERCIO DE BEBIDAS LTDA.","07/10/2025","916,56","06/11/2025","916,56","","","","","BEBBER-ALME.JO VINHO TINTO TANNAT 375ml","24,0000","38,1900","916,56","000035642"
"63.064.737/0001-98","PIRAMIDES DISTRIBUIDORA LTDA","27/10/2025","1.428,40","10/11/2025","1.428,40","","","","","SÃO LOURENÇOS. LOURENCO PET 300ML COM GAS 12UN","20,00","30,39","607,80","125884"
"63.064.737/0001-98","PIRAMIDES DISTRIBUIDORA LTDA","27/10/2025","1.428,40","10/11/2025","1.428,40","","","","","SÃO LOURENÇO-S. LOURENCO PET 300ML SEM GAS 12UN","12.00","26,33","315,96","125884"
"63.064.737/0001-98","PIRAMIDES DISTRIBUIDORA LTDA","27/10/2025","1.428,40","10/11/2025","1.428,40","","","","","PRATA-PRATA MIXER LATA 269ML TONICA ZERO 6UN","2,00","26,16","52,32","125884"
"63.064.737/0001-98","PIRAMIDES DISTRIBUIDORA LTDA","27/10/2025","1.428,40","10/11/2025","1.428,40","","","","","HEINEKEN - HEINEKEN LONG NECK 330ML NORMAL 24UN","1,00","160,56","160,56","125884"
"63.064.737/0001-98","PIRAMIDES DISTRIBUIDORA LTDA","27/10/2025","1.428,40","10/11/2025","1.428,40","","","","","COCA COLA COCA COLA LATA 350ML ZERO 12UN","3,00","45,84","137,52","125884"
"63.064.737/0001-98","PIRAMIDES DISTRIBUIDORA LTDA","27/10/2025","1.428,40","10/11/2025","1.428,40","","","","","COCA COLA-COCA COLA LATA 350ML NORMAL 12UN","2,00","44,28","88,56","125884"
"63.064.737/0001-98","PIRAMIDES DISTRIBUIDORA LTDA","27/10/2025","1.428,40","10/11/2025","1.428,40","","","","","GUARANA ANTARCTICA - GUARANA ANTARCTICA LATA 350ML ZERO 12UN","1,00","38,28","38,28","125884"
"63.064.737/0001-98","PIRAMIDES DISTRIBUIDORA LTDA","27/10/2025","1.428,40","10/11/2025","1.428,40","","","","","SCHWEPPES-SCHWEPPES CITRUS LATA 350ML SEM ACUCAR 6UN","1,00","27,40","27,40","125884"
