CNPJ Emitente,Razão Social Emitente,Data Emissão,Valor Total da Nota,Vencimento1,Valor1,Vencimento2,Valor2,Vencimento3,Valor3,Produto,Quantidade,Vlr.Unitário,Vlr.Total Produto
10.992.853/0001-00,WINE CAPITAL IMPORTACAO E DISTRIBUICAO - EIRELI,15/10/2025,559.75,02/12/2025,279.87,08/11/2025,279.88,,,CABERNET SAUVIGNON VENETO IGT AMERI GO VESPUCCI,6.0000,36.90,221.40
10.992.853/0001-00,WINE CAPITAL IMPORTACAO E DISTRIBUICAO - EIRELI,15/10/2025,559.75,02/12/2025,279.87,08/11/2025,279.88,,,PINOT GRIGIO DELLE VENEZIE DOC CAST ELNUOVO,8.0000,42.29,338.35
63.064.737/0001-98,PIRAMIDES DISTRIBUIDORA LTDA,27/10/2025,1428.40,10/11/2025,1428.40,,,,SÃO LOURENÇOS. LOURENCO PET 300ML COM GAS 12UN,20.00,30.39,607.80
63.064.737/0001-98,PIRAMIDES DISTRIBUIDORA LTDA,27/10/2025,1428.40,10/11/2025,1428.40,,,,SÃO LOURENÇO-S. LOURENCO PET 300ML SEM GAS 12UN,12.00,26.33,315.96
63.064.737/0001-98,PIRAMIDES DISTRIBUIDORA LTDA,27/10/2025,1428.40,10/11/2025,1428.40,,,,PRATA-PRATA MIXER LATA 269ML TONICA ZERO 6UN,2.00,26.16,52.32
63.064.737/0001-98,PIRAMIDES DISTRIBUIDORA LTDA,27/10/2025,1428.40,10/11/2025,1428.40,,,,HEINEKEN - HEINEKEN LONG NECK 330ML NORMAL 24UN,1.00,160.56,160.56
63.064.737/0001-98,PIRAMIDES DISTRIBUIDORA LTDA,27/10/2025,1428.40,10/11/2025,1428.40,,,,COCA COLA COCA COLA LATA 350ML ZERO 12UN,3.00,45.84,137.52
63.064.737/0001-98,PIRAMIDES DISTRIBUIDORA LTDA,27/10/2025,1428.40,10/11/2025,1428.40,,,,COCA COLA-COCA COLA LATA 350ML NORMAL 12UN,2.00,44.28,88.56
63.064.737/0001-98,PIRAMIDES DISTRIBUIDORA LTDA,27/10/2025,1428.40,10/11/2025,1428.40,,,,GUARANA ANTARCTICA - GUARANA ANTARCTICA LATA 350ML ZERO 12UN,1.00,38.28,38.28
63.064.737/0001-98,PIRAMIDES DISTRIBUIDORA LTDA,27/10/2025,1428.40,10/11/2025,1428.40,,,,SCHWEPPES-SCHWEPPES CITRUS LATA 350ML SEM ACUCAR 6UN,1.00,27.40,27.40
04.140.399/0001-67,AUTOAMERICA LTDA,08/10/2025,215.93,08/11/2025,215.93,,,,COUSCOUS NOBLE NATURE 500G,12.0000,14.1300,169.56
09.063.896/0001-22,SPECIALITA COMERCIO DE BEBIDAS LTDA.,07/10/2025,916.56,06/11/2025,916.56,,,,BEBBER-ALME.JO VINHO TINTO TANNAT 375ml,24.0000,38.1900,916.56
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,31/10/2025,504.89,08/11/2025,504.89,,,,MANGA PALMER,1.0000,9.6000000000,9.60
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,31/10/2025,504.89,08/11/2025,504.89,,,,ABACAXI,9.6000000000,2.0000,19.20
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,31/10/2025,504.89,08/11/2025,504.89,,,,ABOBRINHA ITALIANA,6.4000000000,1.0000,6.40
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,31/10/2025,504.89,08/11/2025,504.89,,,,AGRIAO HIDROPONICO,3.2000000000,1.0000,3.20
10.751.978/0001-49,FRUTT'S HORTIFRUTI LTDA,31/10/2025,504.89,08/11/2025,504.89,,,,ALECRIM,12.8000000000,1.0000,12.80
