"05.728.235/0001-18","COSTAZZURRA IMPORTAÇÃO E EXPORTAÇÃO LTDA","21/10/2025","553,49","20/11/25","553,49","","","","","POMODORI ITA COSTAZZURRA 2,55 KG","15","36,8993333","553,49","000084358"
"38.063.278/0001-80","Petara Importacao e Distribuicao de Bebidas Ltda.","06/11/2025","192,00","20/11/2025","192,00","","","","","Del Grano Tinto Seco PET-TTO 1.480ml","4,00","24,00","96,00","005.883"
"38.063.278/0001-80","Petara Importacao e Distribuicao de Bebidas Ltda.","06/11/2025","192,00","20/11/2025","192,00","","","","","Del Grano Branco Seco Niagara PET-BCO 1.480ml","4,00","24,00","96,00","005.883"
"06.323.460/0001-37","CRISTIANE HASEGAWA-PESCADOS","28/10/2025","2.295,40","","","","","","","Pregencia","39,00","48,00","1.872,00","16698 (Pedido de Venda)"
"06.323.460/0001-37","CRISTIANE HASEGAWA-PESCADOS","28/10/2025","2.295,40","","","","","","","Salmão Inteiro","7,30","58,00","423,40","16698 (Pedido de Venda)"
"14.798.308/0001-39","PEIXE GOURMET IMPORTACAO E EXPORTACAO LTDA","03/11/25","719,88","25/11/25","719,88","","","","","POLVO TENTACULO NACIONAL-120/200-CX 12 KG","12,000","59,990","719,88","000.079.497"
"11.683.999/0001-37","HERMANN VINHOS E VINHAS LTDA","15/10/2025","230,26","15/11/2025","230,26","","","","","ESPUMANTE LIRICA BRANCO CRUA 7","3,0000","72,070000","216,21","000008538"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","06/11/2025","1.391,78","20/11/25","695,89","04/12/25","695,89","","","AGUA SANITARIA SUPER CANDIDA SLT","2","21,58","43,16","909851"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","06/11/2025","1.391,78","20/11/25","695,89","04/12/25","695,89","","","BOBINA PICOTADA (A) 20X28 EXTRUSA C/400","2","19,60","39,20","909851"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","06/11/2025","1.391,78","20/11/25","695,89","04/12/25","695,89","","","LA DE ACO BOMBRIL","6","2,80","16,80","909851"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","06/11/2025","1.391,78","20/11/25","695,89","04/12/25","695,89","","","ESPONJA D FACE 3M 110X75X20 C/10","20","1,40","28,00","909851"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","06/11/2025","1.391,78","20/11/25","695,89","04/12/25","695,89","","","FIBRACO 3M 87X125 C/5","10","2,21","22,10","909851"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","06/11/2025","1.391,78","20/11/25","695,89","04/12/25","695,89","","","DETERG NEUTRO YPE 500ML","72","3,3672","242,44","909851"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","06/11/2025","1.391,78","20/11/25","695,89","04/12/25","695,89","","","BOBINA FACIL PACK REFIL 280X300","1","29,95","29,95","909851"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","06/11/2025","1.391,78","20/11/25","695,89","04/12/25","695,89","","","GUARD 31,8X31,8 F.DUPLA GRANDHOTEL 9X50","61","122,80","122,80","909851"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","06/11/2025","1.391,78","20/11/25","695,89","04/12/25","695,89","","","LIMPA ALUMINIO VALENCIA SLTS","2","38,35","76,70","909851"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","06/11/2025","1.391,78","20/11/25","695,89","04/12/25","695,89","","","LUVA LATEX COM PO (M) INOVEN/BOMPACK","1","29,30","29,30","909851"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","06/11/2025","1.391,78","20/11/25","695,89","04/12/25","695,89","","","SACO ALVEJADO ESPECIAL 45X65 C/6 ET AMAR","1","27,22","27,22","909851"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","06/11/2025","1.391,78","20/11/25","695,89","04/12/25","695,89","","","PAP INTERF 2D PROPEL 22X20,7 C4800 22424","2","132,30","264,60","909851"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","06/11/2025","1.391,78","20/11/25","695,89","04/12/25","695,89","","","PAP ALUMINIO 30X100M LIFE CLEAN","1","58,10","58,10","909851"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","06/11/2025","1.391,78","20/11/25","695,89","04/12/25","695,89","","","PAP HIG INT 10X20 F/D ELEGANS 1741 8000","","146,20","146,20","909851"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","06/11/2025","1.391,78","20/11/25","695,89","04/12/25","695,89","","","SACO LIXO 200LTS PR EXTRA FORTE C/3KG","","51,30","51,30","909851"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","06/11/2025","1.391,78","20/11/25","695,89","04/12/25","695,89","","","DESENG SQUEEZE LIMPOL BOMBRIL 500ML","12","12,10","145,20","909851"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","06/11/2025","1.391,78","20/11/25","695,89","04/12/25","695,89","","","REDE CABELO PRETA C/10","","8,2179","8,22","909851"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","06/11/2025","1.391,78","20/11/25","695,89","04/12/25","695,89","","","REDE CABELO PRETA REFORCADA REF 300","2","4,40","8,80","909851"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","06/11/2025","1.391,78","20/11/25","695,89","04/12/25","695,89","","","SACO LIXO 40LTS PR SANLIX C/100","","25,20","25,20","909851"
"59.713.305/0001-93","WAN SAN COMERCIAL LTDA","06/11/2025","1.391,78","20/11/25","695,89","04/12/25","695,89","","","PULVERIZADOR 500ML GIRAFA LEITOSO","","6,49","6,49","909851"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","07/11/2025","550,88","15/11/2025","550,88","","","","","ABOBRINHA ITALIANA","4,8000000000","1,6000","7,68","000.023.334"
"10.751.978/0001-49","FRUTT'S HORTIFRUTI LTDA","07/11/2025","550,88","15/11/2025","550,88","","","","","AGRIAO HIDROPONICO","3,2000000000","2,0000","6,40","000.023.334"
